"Counting","SA2 (UR)","INCP Total Personal Income (weekly)","Count"
"Persons Place of Usual Residence","Richmond (SA)","$1,000-$1,249 ($52,000-$64,999)",1215
"Persons Place of Usual Residence","Richmond (SA)","$1,250-$1,499 ($65,000-$77,999)",807
"Persons Place of Usual Residence","Richmond (SA)","$1,500-$1,749 ($78,000-$90,999)",669
"Persons Place of Usual Residence","Richmond (SA)","$1,750-$1,999 ($91,000-$103,999)",433
"Persons Place of Usual Residence","Richmond (SA)","$2,000-$2,999 ($104,000-$155,999)",528
"Persons Place of Usual Residence","Richmond (SA)","$3,000 or more ($156,000 or more)",186
"Persons Place of Usual Residence","Richmond (SA)","Not stated",957
"Persons Place of Usual Residence","Richmond (SA)","Not applicable",2251
"Persons Place of Usual Residence","Richmond (SA)","Total",16465
"Persons Place of Usual Residence","West Beach","Negative income",17
"Persons Place of Usual Residence","West Beach","Nil income",301
"Persons Place of Usual Residence","West Beach","$1-$149 ($1-$7,799)",188
"Persons Place of Usual Residence","West Beach","$150-$299 ($7,800-$15,599)",237
"Persons Place of Usual Residence","West Beach","$300-$399 ($15,600-$20,799)",333
"Persons Place of Usual Residence","West Beach","$400-$499 ($20,800-$25,999)",380
"Persons Place of Usual Residence","West Beach","$500-$649 ($26,000-$33,799)",394
"Persons Place of Usual Residence","West Beach","$650-$799 ($33,800-$41,599)",315
"Persons Place of Usual Residence","West Beach","$800-$999 ($41,600-$51,999)",381
"Persons Place of Usual Residence","West Beach","$1,000-$1,249 ($52,000-$64,999)",362
"Persons Place of Usual Residence","West Beach","$1,250-$1,499 ($65,000-$77,999)",290
"Persons Place of Usual Residence","West Beach","$1,500-$1,749 ($78,000-$90,999)",249
"Persons Place of Usual Residence","West Beach","$1,750-$1,999 ($91,000-$103,999)",167
"Persons Place of Usual Residence","West Beach","$2,000-$2,999 ($104,000-$155,999)",238
"Persons Place of Usual Residence","West Beach","$3,000 or more ($156,000 or more)",163
"Persons Place of Usual Residence","West Beach","Not stated",216
"Persons Place of Usual Residence","West Beach","Not applicable",743
"Persons Place of Usual Residence","West Beach","Total",4965
"Persons Place of Usual Residence","Barossa - Angaston","Negative income",20
"Persons Place of Usual Residence","Barossa - Angaston","Nil income",335
"Persons Place of Usual Residence","Barossa - Angaston","$1-$149 ($1-$7,799)",227
"Persons Place of Usual Residence","Barossa - Angaston","$150-$299 ($7,800-$15,599)",338
"Persons Place of Usual Residence","Barossa - Angaston","$300-$399 ($15,600-$20,799)",482
"Persons Place of Usual Residence","Barossa - Angaston","$400-$499 ($20,800-$25,999)",483
"Persons Place of Usual Residence","Barossa - Angaston","$500-$649 ($26,000-$33,799)",441
"Persons Place of Usual Residence","Barossa - Angaston","$650-$799 ($33,800-$41,599)",388
"Persons Place of Usual Residence","Barossa - Angaston","$800-$999 ($41,600-$51,999)",483
"Persons Place of Usual Residence","Barossa - Angaston","$1,000-$1,249 ($52,000-$64,999)",491
"Persons Place of Usual Residence","Barossa - Angaston","$1,250-$1,499 ($65,000-$77,999)",294
"Persons Place of Usual Residence","Barossa - Angaston","$1,500-$1,749 ($78,000-$90,999)",198
"Persons Place of Usual Residence","Barossa - Angaston","$1,750-$1,999 ($91,000-$103,999)",128
"Persons Place of Usual Residence","Barossa - Angaston","$2,000-$2,999 ($104,000-$155,999)",182
"Persons Place of Usual Residence","Barossa - Angaston","$3,000 or more ($156,000 or more)",111
"Persons Place of Usual Residence","Barossa - Angaston","Not stated",367
"Persons Place of Usual Residence","Barossa - Angaston","Not applicable",1148
"Persons Place of Usual Residence","Barossa - Angaston","Total",6112
"Persons Place of Usual Residence","Light","Negative income",40
"Persons Place of Usual Residence","Light","Nil income",515
"Persons Place of Usual Residence","Light","$1-$149 ($1-$7,799)",344
"Persons Place of Usual Residence","Light","$150-$299 ($7,800-$15,599)",575
"Persons Place of Usual Residence","Light","$300-$399 ($15,600-$20,799)",696
"Persons Place of Usual Residence","Light","$400-$499 ($20,800-$25,999)",608
"Persons Place of Usual Residence","Light","$500-$649 ($26,000-$33,799)",615
"Persons Place of Usual Residence","Light","$650-$799 ($33,800-$41,599)",617
"Persons Place of Usual Residence","Light","$800-$999 ($41,600-$51,999)",701
"Persons Place of Usual Residence","Light","$1,000-$1,249 ($52,000-$64,999)",681
"Persons Place of Usual Residence","Light","$1,250-$1,499 ($65,000-$77,999)",410
"Persons Place of Usual Residence","Light","$1,500-$1,749 ($78,000-$90,999)",339
"Persons Place of Usual Residence","Light","$1,750-$1,999 ($91,000-$103,999)",191
"Persons Place of Usual Residence","Light","$2,000-$2,999 ($104,000-$155,999)",223
"Persons Place of Usual Residence","Light","$3,000 or more ($156,000 or more)",86
"Persons Place of Usual Residence","Light","Not stated",478
"Persons Place of Usual Residence","Light","Not applicable",1844
"Persons Place of Usual Residence","Light","Total",8964
"Persons Place of Usual Residence","Lyndoch","Negative income",17
"Persons Place of Usual Residence","Lyndoch","Nil income",397
"Persons Place of Usual Residence","Lyndoch","$1-$149 ($1-$7,799)",249
"Persons Place of Usual Residence","Lyndoch","$150-$299 ($7,800-$15,599)",359
"Persons Place of Usual Residence","Lyndoch","$300-$399 ($15,600-$20,799)",396
"Persons Place of Usual Residence","Lyndoch","$400-$499 ($20,800-$25,999)",389
"Persons Place of Usual Residence","Lyndoch","$500-$649 ($26,000-$33,799)",383
"Persons Place of Usual Residence","Lyndoch","$650-$799 ($33,800-$41,599)",404
"Persons Place of Usual Residence","Lyndoch","$800-$999 ($41,600-$51,999)",437
"Persons Place of Usual Residence","Lyndoch","$1,000-$1,249 ($52,000-$64,999)",437
"Persons Place of Usual Residence","Lyndoch","$1,250-$1,499 ($65,000-$77,999)",309
"Persons Place of Usual Residence","Lyndoch","$1,500-$1,749 ($78,000-$90,999)",246
"Persons Place of Usual Residence","Lyndoch","$1,750-$1,999 ($91,000-$103,999)",175
"Persons Place of Usual Residence","Lyndoch","$2,000-$2,999 ($104,000-$155,999)",226
"Persons Place of Usual Residence","Lyndoch","$3,000 or more ($156,000 or more)",66
"Persons Place of Usual Residence","Lyndoch","Not stated",394
"Persons Place of Usual Residence","Lyndoch","Not applicable",1274
"Persons Place of Usual Residence","Lyndoch","Total",6153
"Persons Place of Usual Residence","Mallala","Negative income",17
"Persons Place of Usual Residence","Mallala","Nil income",219
"Persons Place of Usual Residence","Mallala","$1-$149 ($1-$7,799)",101
"Persons Place of Usual Residence","Mallala","$150-$299 ($7,800-$15,599)",239
"Persons Place of Usual Residence","Mallala","$300-$399 ($15,600-$20,799)",298
"Persons Place of Usual Residence","Mallala","$400-$499 ($20,800-$25,999)",227
"Persons Place of Usual Residence","Mallala","$500-$649 ($26,000-$33,799)",234
"Persons Place of Usual Residence","Mallala","$650-$799 ($33,800-$41,599)",210
"Persons Place of Usual Residence","Mallala","$800-$999 ($41,600-$51,999)",234
"Persons Place of Usual Residence","Mallala","$1,000-$1,249 ($52,000-$64,999)",211
"Persons Place of Usual Residence","Mallala","$1,250-$1,499 ($65,000-$77,999)",125
"Persons Place of Usual Residence","Mallala","$1,500-$1,749 ($78,000-$90,999)",111
"Persons Place of Usual Residence","Mallala","$1,750-$1,999 ($91,000-$103,999)",49
"Persons Place of Usual Residence","Mallala","$2,000-$2,999 ($104,000-$155,999)",61
"Persons Place of Usual Residence","Mallala","$3,000 or more ($156,000 or more)",30
"Persons Place of Usual Residence","Mallala","Not stated",250
"Persons Place of Usual Residence","Mallala","Not applicable",565
"Persons Place of Usual Residence","Mallala","Total",3166
"Persons Place of Usual Residence","Nuriootpa","Negative income",20
"Persons Place of Usual Residence","Nuriootpa","Nil income",333
"Persons Place of Usual Residence","Nuriootpa","$1-$149 ($1-$7,799)",215
"Persons Place of Usual Residence","Nuriootpa","$150-$299 ($7,800-$15,599)",382
"Persons Place of Usual Residence","Nuriootpa","$300-$399 ($15,600-$20,799)",590
"Persons Place of Usual Residence","Nuriootpa","$400-$499 ($20,800-$25,999)",560
"Persons Place of Usual Residence","Nuriootpa","$500-$649 ($26,000-$33,799)",545
"Persons Place of Usual Residence","Nuriootpa","$650-$799 ($33,800-$41,599)",501
"Persons Place of Usual Residence","Nuriootpa","$800-$999 ($41,600-$51,999)",531
"Persons Place of Usual Residence","Nuriootpa","$1,000-$1,249 ($52,000-$64,999)",513
"Persons Place of Usual Residence","Nuriootpa","$1,250-$1,499 ($65,000-$77,999)",336
"Persons Place of Usual Residence","Nuriootpa","$1,500-$1,749 ($78,000-$90,999)",230
"Persons Place of Usual Residence","Nuriootpa","$1,750-$1,999 ($91,000-$103,999)",128
"Persons Place of Usual Residence","Nuriootpa","$2,000-$2,999 ($104,000-$155,999)",152
"Persons Place of Usual Residence","Nuriootpa","$3,000 or more ($156,000 or more)",35
"Persons Place of Usual Residence","Nuriootpa","Not stated",303
"Persons Place of Usual Residence","Nuriootpa","Not applicable",1175
"Persons Place of Usual Residence","Nuriootpa","Total",6546
"Persons Place of Usual Residence","Tanunda","Negative income",5
"Persons Place of Usual Residence","Tanunda","Nil income",219
"Persons Place of Usual Residence","Tanunda","$1-$149 ($1-$7,799)",175
"Persons Place of Usual Residence","Tanunda","$150-$299 ($7,800-$15,599)",212
"Persons Place of Usual Residence","Tanunda","$300-$399 ($15,600-$20,799)",325
"Persons Place of Usual Residence","Tanunda","$400-$499 ($20,800-$25,999)",432
"Persons Place of Usual Residence","Tanunda","$500-$649 ($26,000-$33,799)",331
"Persons Place of Usual Residence","Tanunda","$650-$799 ($33,800-$41,599)",317
"Persons Place of Usual Residence","Tanunda","$800-$999 ($41,600-$51,999)",362
"Persons Place of Usual Residence","Tanunda","$1,000-$1,249 ($52,000-$64,999)",349
"Persons Place of Usual Residence","Tanunda","$1,250-$1,499 ($65,000-$77,999)",219
"Persons Place of Usual Residence","Tanunda","$1,500-$1,749 ($78,000-$90,999)",184
"Persons Place of Usual Residence","Tanunda","$1,750-$1,999 ($91,000-$103,999)",131
"Persons Place of Usual Residence","Tanunda","$2,000-$2,999 ($104,000-$155,999)",158
"Persons Place of Usual Residence","Tanunda","$3,000 or more ($156,000 or more)",86
"Persons Place of Usual Residence","Tanunda","Not stated",285
"Persons Place of Usual Residence","Tanunda","Not applicable",757
"Persons Place of Usual Residence","Tanunda","Total",4547
"Persons Place of Usual Residence","Clare","Negative income",5
"Persons Place of Usual Residence","Clare","Nil income",144
"Persons Place of Usual Residence","Clare","$1-$149 ($1-$7,799)",121
"Persons Place of Usual Residence","Clare","$150-$299 ($7,800-$15,599)",226
"Persons Place of Usual Residence","Clare","$300-$399 ($15,600-$20,799)",317
"Persons Place of Usual Residence","Clare","$400-$499 ($20,800-$25,999)",365
"Persons Place of Usual Residence","Clare","$500-$649 ($26,000-$33,799)",350
"Persons Place of Usual Residence","Clare","$650-$799 ($33,800-$41,599)",336
"Persons Place of Usual Residence","Clare","$800-$999 ($41,600-$51,999)",306
"Persons Place of Usual Residence","Clare","$1,000-$1,249 ($52,000-$64,999)",302
"Persons Place of Usual Residence","Clare","$1,250-$1,499 ($65,000-$77,999)",172
"Persons Place of Usual Residence","Clare","$1,500-$1,749 ($78,000-$90,999)",140
"Persons Place of Usual Residence","Clare","$1,750-$1,999 ($91,000-$103,999)",96
"Persons Place of Usual Residence","Clare","$2,000-$2,999 ($104,000-$155,999)",121
"Persons Place of Usual Residence","Clare","$3,000 or more ($156,000 or more)",48
"Persons Place of Usual Residence","Clare","Not stated",243
"Persons Place of Usual Residence","Clare","Not applicable",760
"Persons Place of Usual Residence","Clare","Total",4044
"Persons Place of Usual Residence","Gilbert Valley","Negative income",20
"Persons Place of Usual Residence","Gilbert Valley","Nil income",271
"Persons Place of Usual Residence","Gilbert Valley","$1-$149 ($1-$7,799)",166
"Persons Place of Usual Residence","Gilbert Valley","$150-$299 ($7,800-$15,599)",297
"Persons Place of Usual Residence","Gilbert Valley","$300-$399 ($15,600-$20,799)",454
"Persons Place of Usual Residence","Gilbert Valley","$400-$499 ($20,800-$25,999)",442
"Persons Place of Usual Residence","Gilbert Valley","$500-$649 ($26,000-$33,799)",397
"Persons Place of Usual Residence","Gilbert Valley","$650-$799 ($33,800-$41,599)",344
"Persons Place of Usual Residence","Gilbert Valley","$800-$999 ($41,600-$51,999)",332
"Persons Place of Usual Residence","Gilbert Valley","$1,000-$1,249 ($52,000-$64,999)",324
"Persons Place of Usual Residence","Gilbert Valley","$1,250-$1,499 ($65,000-$77,999)",195
"Persons Place of Usual Residence","Gilbert Valley","$1,500-$1,749 ($78,000-$90,999)",157
"Persons Place of Usual Residence","Gilbert Valley","$1,750-$1,999 ($91,000-$103,999)",102
"Persons Place of Usual Residence","Gilbert Valley","$2,000-$2,999 ($104,000-$155,999)",93
"Persons Place of Usual Residence","Gilbert Valley","$3,000 or more ($156,000 or more)",75
"Persons Place of Usual Residence","Gilbert Valley","Not stated",370
"Persons Place of Usual Residence","Gilbert Valley","Not applicable",844
"Persons Place of Usual Residence","Gilbert Valley","Total",4896
"Persons Place of Usual Residence","Goyder","Negative income",24
"Persons Place of Usual Residence","Goyder","Nil income",221
"Persons Place of Usual Residence","Goyder","$1-$149 ($1-$7,799)",167
"Persons Place of Usual Residence","Goyder","$150-$299 ($7,800-$15,599)",328
"Persons Place of Usual Residence","Goyder","$300-$399 ($15,600-$20,799)",496
"Persons Place of Usual Residence","Goyder","$400-$499 ($20,800-$25,999)",389
"Persons Place of Usual Residence","Goyder","$500-$649 ($26,000-$33,799)",312
"Persons Place of Usual Residence","Goyder","$650-$799 ($33,800-$41,599)",274
"Persons Place of Usual Residence","Goyder","$800-$999 ($41,600-$51,999)",259
"Persons Place of Usual Residence","Goyder","$1,000-$1,249 ($52,000-$64,999)",229
"Persons Place of Usual Residence","Goyder","$1,250-$1,499 ($65,000-$77,999)",143
"Persons Place of Usual Residence","Goyder","$1,500-$1,749 ($78,000-$90,999)",113
"Persons Place of Usual Residence","Goyder","$1,750-$1,999 ($91,000-$103,999)",57
"Persons Place of Usual Residence","Goyder","$2,000-$2,999 ($104,000-$155,999)",54
"Persons Place of Usual Residence","Goyder","$3,000 or more ($156,000 or more)",41
"Persons Place of Usual Residence","Goyder","Not stated",342
"Persons Place of Usual Residence","Goyder","Not applicable",720
"Persons Place of Usual Residence","Goyder","Total",4157
"Persons Place of Usual Residence","Wakefield - Barunga West","Negative income",54
"Persons Place of Usual Residence","Wakefield - Barunga West","Nil income",502
"Persons Place of Usual Residence","Wakefield - Barunga West","$1-$149 ($1-$7,799)",288
"Persons Place of Usual Residence","Wakefield - Barunga West","$150-$299 ($7,800-$15,599)",643
"Persons Place of Usual Residence","Wakefield - Barunga West","$300-$399 ($15,600-$20,799)",948
"Persons Place of Usual Residence","Wakefield - Barunga West","$400-$499 ($20,800-$25,999)",943
"Persons Place of Usual Residence","Wakefield - Barunga West","$500-$649 ($26,000-$33,799)",726
"Persons Place of Usual Residence","Wakefield - Barunga West","$650-$799 ($33,800-$41,599)",682
"Persons Place of Usual Residence","Wakefield - Barunga West","$800-$999 ($41,600-$51,999)",677
"Persons Place of Usual Residence","Wakefield - Barunga West","$1,000-$1,249 ($52,000-$64,999)",571
